,50,개성주악만들기,베이킹,"3,910",6,"아주좋음
0.00",1.1,"아주좋음
5.45","아주나쁨
63.64","쇼핑성&정보성
42% / 58%",https://itemscout.io/keyword?id=235232451
,62,전주원데이클래스,플라워,"2,410",60,"아주좋음
0.02",12.5,"아주좋음
4.80","아주나쁨
13.44","쇼핑성
95%",https://itemscout.io/keyword?id=3400572
,96,대전이색데이트,테마/놀이동산,"2,930",10,"아주좋음
0.00",2.2,"아주좋음
4.55","아주나쁨
90.00","쇼핑성
96%",https://itemscout.io/keyword?id=4549239
,105,청주원데이클래스,목공예,"1,840",61,"아주좋음
0.03",5.5,"좋음
11.09","아주나쁨
116.00","쇼핑성
96%",https://itemscout.io/keyword?id=4758837
,142,경주원데이클래스,기타수공예,"1,010",31,"아주좋음
0.03",0.7,"나쁨
44.29","아주나쁨
117.14","쇼핑성
98%",https://itemscout.io/keyword?id=4753314
,186,홍대이색데이트,베이킹,"1,630",26,"아주좋음
0.02",0.8,"보통
32.50","아주나쁨
192.50","쇼핑성
96%",https://itemscout.io/keyword?id=4507411
,231,전주이색데이트,아로마테라피,"1,500",13,"아주좋음
0.01",1.0,"좋음
13.00","아주나쁨
70.00","쇼핑성
96%",https://itemscout.io/keyword?id=534028
,343,인천실내데이트,캔들/방향제/향수,"2,840",15,"아주좋음
0.01",1.7,"아주좋음
8.82","아주나쁨
41.18","정보성
88%",https://itemscout.io/keyword?id=4557445
,489,서울실내이색데이트,드로잉,"1,130",97,"아주좋음
0.09",1.5,"나쁨
64.67","아주나쁨
46.67","쇼핑성
95%",https://itemscout.io/keyword?id=55639176
,3,핑크퐁뮤지컬,뮤지컬,"15,130",65,"아주좋음
0.00",233.3,"아주좋음
0.28","아주좋음
0.34","쇼핑성
96%",https://itemscout.io/keyword?id=58874
,4,로보카폴리뮤지컬,뮤지컬,"11,610",37,"아주좋음
0.00",32.2,"아주좋음
1.15","나쁨
2.17","쇼핑성
98%",https://itemscout.io/keyword?id=224373
,5,수박수영장뮤지컬,뮤지컬,"40,390",29,"아주좋음
0.00","1,751.1","아주좋음
0.02","아주좋음
0.04","쇼핑성&정보성
42% / 58%",https://itemscout.io/keyword?id=96180284
,7,브레드이발소뮤지컬,뮤지컬,"29,160",51,"아주좋음
0.00",637.1,"아주좋음
0.08","아주좋음
0.12","쇼핑성&정보성
42% / 58%",https://itemscout.io/keyword?id=261674204
,10,백희나그림책전,전시/행사,"164,900",4,"아주좋음
0.00","8,659.8","아주좋음
0.00","아주좋음
0.01","쇼핑성&정보성
42% / 58%",https://itemscout.io/keyword?id=363624453
,11,미니특공대뮤지컬,뮤지컬,"8,470",17,"아주좋음
0.00",85.2,"아주좋음
0.20","좋음
0.82","쇼핑성
95%",https://itemscout.io/keyword?id=6328
,12,키자니아대구,뮤지컬,"24,330",2,"아주좋음
0.00",843.8,"아주좋음
0.00","아주좋음
0.08","쇼핑성
95%",https://itemscout.io/keyword?id=307051468
,13,장수탕선녀님뮤지컬,뮤지컬,"22,100",17,"아주좋음
0.00",438.1,"아주좋음
0.04","아주좋음
0.18","쇼핑성
98%",https://itemscout.io/keyword?id=266147838
,15,브래드이발소뮤지컬,뮤지컬,"5,580",51,"아주좋음
0.01",7.8,"아주좋음
6.54","아주나쁨
8.97","쇼핑성
95%",https://itemscout.io/keyword?id=314831843
